Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gunnar Nelson,5Dimes,1499551926000,-270,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499552287000,-210,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499586127000,-230,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499610247000,-185,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499611506000,-190,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499615828000,-210,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499627526000,-220,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499635626000,-200,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499729585000,-190,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499798885000,-200,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499914806000,-190,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499915166000,-175,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499915348000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499915708000,-165,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499916065000,-155,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499916605000,-150,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499918408000,-140,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499924886000,-145,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499927046000,-150,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499944327000,-155,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499959626000,-160,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499974926000,-165,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1499979247000,-160,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1500064207000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1500069068000,-175,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1500152952000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1500217386000,-165,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1500238266000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,5Dimes,1500240424000,-174,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500066907000,-165,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500147007000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500150608000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500150968000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500151147000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500181935000,-173,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500208386000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500224948000,-167,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500225306000,-170,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500225487000,-167,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500234125000,-164,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500237547000,-166,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500238446000,-167,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500239165000,-169,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500240607000,-172,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500240786000,-169,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500241145000,-178,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500241325000,-172,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BetDSI,1500241506000,-178,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499726887000,-195,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499801765000,-200,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499887112000,-215,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499887292000,-200,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499887472000,-215,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499888192000,-215,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499915166000,-168,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
Gunnar Nelson,BookMaker,1499915349000,-215,Gunnar Nelson,Santiago Ponzinibbio,even,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
