Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cristiane Justino,5Dimes,1510961590000,-400,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1510962307000,-320,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1511137990000,-350,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1511139971000,-335,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1511289369000,-320,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1512414906000,-330,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1512682208000,-325,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1512866526000,-345,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1513619467000,-355,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1513877227000,-365,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514292305000,-360,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514409126000,-370,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514490852000,-360,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514494816000,-335,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514508127000,-340,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514556725000,-345,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514591470000,-355,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514597407000,-345,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514628726000,-343,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514669945000,-325,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514670132000,-330,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514671932000,-325,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514675887000,-315,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514681106000,-295,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514686326000,-290,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514686873000,-280,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514688666000,-275,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514692628000,-265,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514695325000,-280,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514695870000,-290,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514697485000,-295,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514697845000,-305,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,5Dimes,1514698566000,-325,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1511469193000,-322,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1513938611000,-285,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1513938965000,-322,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514025006000,-285,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514025187000,-322,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514111586000,-285,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514111946000,-322,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514196726000,-285,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514197086000,-322,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
Cristiane Justino,BetDSI,1514283126000,-285,Cristiane Justino,Holly Holm,even,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
