Bet,betsite,dates,odds,fighter1,fighter2,class,url
James Vick,5Dimes,1532719646000,-115,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1532719808000,-135,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1532725386000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1532900704000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1532935446000,-165,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1532961725000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533133086000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533304086000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533445209000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533501905000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533508566000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533601265000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533604506000,-165,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533605607000,-170,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533734467000,-165,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533734647000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533734860000,-165,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533756252000,-170,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533821587000,-175,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533843546000,-170,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1533996906000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534086186000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534105983000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534168805000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534190947000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534295708000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534364649000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534518372000,-145,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534523769000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534578848000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534579748000,-165,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534603687000,-160,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534615749000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534615927000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534687747000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534859287000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534886648000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534946953000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1534947130000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535033893000,-155,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535053689000,-150,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535122107000,-140,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535122811000,-135,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535232071000,-130,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535248447000,-135,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535248629000,-140,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535259248000,-135,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,5Dimes,1535259428000,-140,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
James Vick,BetDSI,1533816728000,-165,James Vick,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
