Bet,betsite,dates,odds,fighter1,fighter2,class,url
Curtis Blaydes,DraftKings,1613482417000,-375,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,DraftKings,1613486548000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,DraftKings,1613637431000,-435,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Bet365,1610720052000,-333,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Bet365,1613301849000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1610646511000,-350,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1611586577000,-333,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1613413214000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1613459419000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1613543305000,-450,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1613646263000,-450,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,BetWay,1613796752000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1609963450000,-285,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610067122000,-312,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610137927000,-310,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610587203000,-320,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610590083000,-350,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610742727000,-320,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610894286000,-335,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1610992207000,-325,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1611520808000,-320,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1611683407000,-325,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1612140845000,-335,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1612499766000,-355,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1612644246000,-350,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1612737004000,-345,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613166367000,-350,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613317566000,-365,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613339043000,-380,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613416685000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613512923000,-420,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613571007000,-430,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613701327000,-450,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613709843000,-460,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613765286000,-435,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613837534000,-420,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613838246000,-415,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613839143000,-410,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613852466000,-385,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613876047000,-375,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613879286000,-400,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,5D,1613879466000,-420,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1606729453000,-300,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1610590940000,-305,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1611198973000,-315,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1611658696000,-350,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613315894000,-375,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613340615000,-410,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613476335000,-425,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613566336000,-450,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613666899000,-475,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613693660000,-500,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613697858000,-470,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613794704000,-460,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613807897000,-450,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613856070000,-425,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613856250000,-445,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613862007000,-450,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613874484000,-445,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613874723000,-440,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613875204000,-435,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613875443000,-438,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613877603000,-440,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613877843000,-455,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Curtis Blaydes,Ref,1613878803000,-440,Curtis Blaydes,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,DraftKings,1613482417000,280,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,DraftKings,1613486548000,300,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,DraftKings,1613637431000,320,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Bet365,1610720052000,250,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Bet365,1613301849000,300,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1610646511000,260,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1611586577000,250,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1613413214000,285,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1613459419000,300,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1613543305000,320,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1613646263000,333,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,BetWay,1613796752000,300,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1609963450000,225,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610067122000,245,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610137927000,255,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610587203000,260,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610590083000,290,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610742727000,260,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610894286000,275,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1610992207000,265,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1611520808000,260,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1611683407000,265,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1612140845000,275,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1612499766000,295,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1612644246000,290,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1612737004000,285,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613166367000,290,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613317566000,305,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613339043000,315,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613416685000,325,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613512923000,335,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613571007000,345,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613701327000,360,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613709843000,365,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613765286000,385,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613837534000,375,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613838246000,370,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613839143000,365,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613852466000,345,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613876047000,335,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613879286000,355,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,5D,1613879466000,335,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1606729453000,250,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1610590940000,255,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1611198973000,265,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1611658696000,285,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613315894000,310,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613340615000,310,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613476335000,325,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613566336000,350,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613666899000,375,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613693660000,375,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613697858000,370,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613794704000,360,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613807897000,350,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613856070000,325,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613856250000,345,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613862007000,350,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613874484000,345,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613874723000,340,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613875204000,335,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613875443000,338,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613877603000,340,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613877843000,355,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Derrick Lewis,Ref,1613878803000,340,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,BetWay,1613858069000,-200,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,5D,1613878924000,-207,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,5D,1613879467000,-210,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613423172000,-160,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613427133000,-170,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613518097000,-185,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613697860000,-200,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613874004000,-205,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613878563000,-210,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 1½ rounds,Ref,1613878804000,-220,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,BetWay,1613858069000,140,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,5D,1613878924000,179,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,5D,1613879467000,175,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613423172000,130,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613427133000,140,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613518097000,155,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613697860000,160,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613874004000,165,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613878563000,170,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 1½ rounds,Ref,1613878804000,180,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Over 2½ rounds,BetWay,1613858069000,-105,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Under 2½ rounds,BetWay,1613858069000,-133,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,Bet365,1613563808000,240,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,BetWay,1613464703000,240,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,BetWay,1613753197000,200,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613340726000,255,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613401207000,280,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613427125000,250,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613499968000,250,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613709967000,200,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613710088000,220,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613756887000,230,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613765644000,190,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613769124000,205,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
Fight goes to decision,5D,1613769604000,225,Curtis Blaydes,Derrick Lewis,odd,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
