Bet,betsite,dates,odds,fighter1,fighter2,class,url
Nate Marquardt,5Dimes,1277878524000,-260,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1279371622000,-240,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1279879241000,-235,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1280132129000,-230,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1282035633000,-225,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1282722318000,-230,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1284506119000,-235,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1284546620000,-220,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1284574519000,-225,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1284581725000,-240,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,5Dimes,1284591636000,-235,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1277869531000,-295,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1277870442000,-280,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1277871344000,-271,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1277874035000,-255,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1277878527000,-250,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1277884839000,-225,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
Nate Marquardt,BookMaker,1278032445000,-245,Nate Marquardt,Rousimar Palhares,even,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
