Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gray Maynard,5Dimes,1384985529000,+100,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1384985710000,-135,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1384990594000,-165,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385069955000,-165,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385072835000,-155,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385129729000,-165,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385129898000,-165,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385130789000,-155,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385234293000,-145,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385406368000,-150,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385410511000,-140,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385491691000,-135,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385650990000,-140,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385759900000,-135,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385837129000,-130,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385838011000,-125,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385852950000,-130,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385862675000,-135,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385866456000,-120,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385867353000,-115,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,5Dimes,1385873661000,-120,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385353629000,-145,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385591415000,-135,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385672951000,-140,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385838567000,-128,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385861427000,-135,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385864844000,-140,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
Gray Maynard,BetDSI,1385867170000,-125,Gray Maynard,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
