Bet,betsite,dates,odds,fighter1,fighter2,class,url
Paige Vanzant,5Dimes,1446854947000,-165,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1446947649000,-195,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1447358770000,-185,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1448203149000,-175,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1448780946000,-185,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1448812627000,-190,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1448889488000,-195,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1448945285000,-200,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449007942000,-210,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449074886000,-190,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449174966000,-185,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449247688000,-180,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449247867000,-175,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449268028000,-185,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449407706000,-180,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449497887000,-185,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449601932000,-180,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449606427000,-175,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449662946000,-165,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449693908000,-160,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449703986000,-145,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
Paige Vanzant,5Dimes,1449704167000,-140,Paige Vanzant,Rose Namajunas,even,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
