Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alexander Gustafsson,5Dimes,1491090486000,-175,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1491195965000,-165,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1491342667000,-180,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1492359305000,-190,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1492456685000,-210,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494769865000,-200,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494858066000,-220,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494888844000,-230,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494903785000,-250,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494903964000,-260,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494905586000,-270,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1494912425000,-260,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495144096000,-280,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495209428000,-265,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495322112000,-310,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495328947000,-330,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495344065000,-320,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495398965000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495457104000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495457644000,-330,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495577822000,-320,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495597441000,-330,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495637826000,-320,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495722967000,-330,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495744925000,-320,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495836187000,-275,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495897569000,-280,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495926009000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495969208000,-290,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495980007000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495981268000,-290,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495993686000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495999266000,-320,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,5Dimes,1495999626000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494364326000,-200,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494858429000,-212,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494858789000,-215,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494903785000,-235,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494904326000,-260,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494905228000,-265,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494907761000,-270,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494920885000,-319,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494921787000,-314,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1494928267000,-304,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495018086000,-275,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495168754000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495339567000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495571229000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495638905000,-336,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495663568000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495663746000,-336,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495663929000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495749427000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495751948000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495753027000,-347,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495753209000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495753387000,-347,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495767427000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495913229000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495994768000,-323,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BetDSI,1495999807000,-355,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494363787000,-200,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494858248000,-215,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494903607000,-235,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494905046000,-265,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494907208000,-270,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494907384000,-265,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494907569000,-270,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494920166000,-319,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494921426000,-314,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494928267000,-304,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494928445000,-309,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1494928805000,-304,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495017366000,-275,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495168387000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495339027000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495339386000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495339567000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495571229000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495638489000,-336,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495663208000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495663389000,-336,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495663568000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495749068000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495749427000,-339,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495749608000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495751588000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495752846000,-347,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495766888000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495767247000,-347,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495767428000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495912509000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495994226000,-323,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495994586000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495994768000,-323,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495999085000,-355,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495999267000,-323,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,BookMaker,1495999447000,-355,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1491090487000,-169,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1491195966000,-159,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1491342668000,-176,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1492359306000,-186,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1492456686000,-205,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494769866000,-196,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494858067000,-214,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494888845000,-224,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494903786000,-244,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494903965000,-254,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494905587000,-264,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1494912426000,-254,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495144097000,-274,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495209429000,-259,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495322113000,-302,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495328948000,-321,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495344066000,-311,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495398966000,-331,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495457105000,-293,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495457645000,-321,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495577829000,-311,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495597510000,-321,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495637828000,-311,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495722969000,-321,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495744927000,-311,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495836191000,-269,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495897571000,-274,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495926011000,-293,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495969209000,-283,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495980009000,-293,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495981269000,-283,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495993688000,-293,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495999268000,-311,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,SportBet,1495999627000,-293,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1491766564000,-185,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1492520044000,-205,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1493219348000,-210,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1493839088000,-205,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1494914944000,-250,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1494949150000,-270,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1495029072000,-265,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1495460705000,-310,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1495631345000,-325,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1495719366000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1495817647000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Bovada,1495888030000,-300,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1491944958000,-185,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1492545426000,-210,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1494956527000,-235,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1494966071000,-265,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1494967873000,-260,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1495334526000,-310,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1495411947000,-340,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1495888031000,-320,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
Alexander Gustafsson,Sportsbook,1495910709000,-350,Alexander Gustafsson,Glover Teixeira,even,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
