Bet,betsite,dates,odds,fighter1,fighter2,class,url
Lyoto Machida,5Dimes,1433108345000,-185,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1433111225000,-155,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1433113925000,-185,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1433128865000,-175,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1433538032000,-165,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1433716772000,-160,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1433799546000,-165,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1434903846000,-175,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1434999425000,-170,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435166467000,-175,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435169996000,-190,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435272305000,-185,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435331167000,-185,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435410550000,-180,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435417387000,-175,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435434126000,-170,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435434486000,-165,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435449246000,-160,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,5Dimes,1435465985000,-165,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1434994570000,-175,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435137667000,-178,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435170791000,-185,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435182849000,-191,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435287067000,-195,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435309573000,-192,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435417569000,-187,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435417751000,-192,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
Lyoto Machida,BetDSI,1435417944000,-187,Lyoto Machida,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
