Bet,betsite,dates,odds,fighter1,fighter2,class,url
Nicco Montano,5Dimes,1512088389000,-165,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512088746000,-195,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512088951000,-245,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512090193000,-195,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512098142000,-185,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512108392000,-215,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512109087000,-245,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512115412000,-215,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512135190000,-200,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512163652000,-190,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512190447000,-200,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,5Dimes,1512193332000,-210,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BetDSI,1512136652000,-200,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512134108000,-200,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512139698000,-201,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512174252000,-200,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512190808000,-220,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512191013000,-225,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512191373000,-220,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512191529000,-225,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,BookMaker,1512192978000,-220,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,SportBet,1512088393000,-159,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,SportBet,1512088750000,-189,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,SportBet,1512088955000,-235,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,SportBet,1512090196000,-189,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
Nicco Montano,SportBet,1512098289000,-181,Nicco Montano,Roxanne Modafferi,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
