Bet,betsite,dates,odds,fighter1,fighter2,class,url
Daniel Cormier,5Dimes,1494899105000,+220,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1494941950000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1495091531000,+220,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1495153447000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1496148304000,+220,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1496148484000,+220,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1496148664000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1496148843000,+220,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1497300486000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1497304806000,+225,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1497304986000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1498487946000,+245,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1499521148000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1499542567000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1499650745000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1499828767000,+237,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1499828947000,+245,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500110829000,+248,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500233406000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500401707000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500714547000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500833712000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500873305000,+225,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500901747000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500938826000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1500972491000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501026670000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501040530000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501048859000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501073649000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501116489000,+230,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501124950000,+250,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501138990000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501264451000,+245,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501265710000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501275431000,+250,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501276510000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501286591000,+245,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501312870000,+235,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501338789000,+240,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501344909000,+255,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501355169000,+260,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501365967000,+255,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501380010000,+265,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501380370000,+275,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
Daniel Cormier,5Dimes,1501381989000,+285,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
