Bet,betsite,dates,odds,fighter1,fighter2,class,url
Derrick Lewis,5Dimes,1548291249000,+105,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548291431000,+135,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548291608000,+185,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548295027000,+165,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548376568000,+170,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548812350000,+160,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548968233000,+175,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1548970931000,+185,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1549655652000,+210,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1550184309000,+200,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1550472308000,+195,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1551047783000,+200,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1551101409000,+205,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1551593894000,+190,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1551631877000,+195,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1551709458000,+190,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
Derrick Lewis,5Dimes,1551738969000,+180,Derrick Lewis,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
