Bet,betsite,dates,odds,fighter1,fighter2,class,url
Curtis Blaydes,5Dimes,1576628834000,-185,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1576629372000,-210,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1576683193000,-205,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1576920978000,-240,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1577127971000,-220,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1577227505000,-235,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1577629271000,-230,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1578007266000,-245,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1578150379000,-240,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1578150918000,-230,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1578534850000,-240,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579110852000,-250,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579461663000,-240,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579533494000,-245,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579615930000,-240,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579729693000,-250,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579877492000,-260,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579880192000,-245,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579900876000,-250,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579934893000,-260,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579961721000,-275,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579988900000,-280,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1579994652000,-290,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1580008352000,-270,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,5Dimes,1580009050000,-280,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1578800889000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1578821589000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1578859403000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579183390000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579207692000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579212183000,-256,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579413789000,-263,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579414692000,-256,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579471384000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579613591000,-250,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579646897000,-244,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579762087000,-250,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579820593000,-263,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579899796000,-270,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579911499000,-278,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579917797000,-278,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579927696000,-270,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579929499000,-278,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579935792000,-286,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579937595000,-263,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579957400000,-270,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579968199000,-263,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579970899000,-270,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
Curtis Blaydes,BetDSI,1579987998000,-270,Curtis Blaydes,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
