Bet,betsite,dates,odds,fighter1,fighter2,class,url
Daniel Cormier,5Dimes,1539121532000,-900,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539138067000,-825,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539178772000,-795,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539187591000,-750,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539190636000,-650,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539191013000,-625,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539266949000,-500,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539272889000,-550,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539279729000,-600,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539563231000,-620,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539615615000,-650,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539743229000,-690,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1539814689000,-750,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540081990000,-800,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540128787000,-850,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540231026000,-700,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540743850000,-650,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540752497000,-700,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540820346000,-750,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1540907470000,-700,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541110510000,-650,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541173152000,-640,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541173330000,-605,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541205383000,-620,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541213656000,-630,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541270174000,-675,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541270532000,-475,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541272509000,-500,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541275387000,-475,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541280070000,-420,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541281153000,-430,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541284029000,-440,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541286908000,-430,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541287448000,-420,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541287807000,-410,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541304550000,-380,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541304742000,-365,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,5Dimes,1541305446000,-380,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1539992356000,-740,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540066333000,-745,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540066521000,-780,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540074625000,-785,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540078571000,-795,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540081993000,-810,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540082170000,-800,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540082361000,-810,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540085413000,-820,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540128788000,-835,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540128968000,-820,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540154708000,-835,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540231027000,-805,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540285207000,-795,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540286287000,-775,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540296907000,-780,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540355593000,-810,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540355773000,-785,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540613531000,-780,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540623434000,-785,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540625953000,-780,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540671490000,-830,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540672577000,-780,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540675089000,-830,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540683189000,-840,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540703171000,-750,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1540780038000,-850,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
Daniel Cormier,BetDSI,1541163432000,-683,Daniel Cormier,Derrick Lewis,even,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
