Bet,betsite,dates,odds,fighter1,fighter2,class,url
Charles Oliveira,5Dimes,1581348609000,-140,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1581348790000,-120,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1581351854000,+100,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1581361215000,+115,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1581361392000,+120,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1581580988000,+115,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1581881237000,+125,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1582269313000,+130,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1582514468000,+125,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1582543628000,+120,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583332924000,+125,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583362449000,+120,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583652605000,+110,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583691488000,+115,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583692927000,+110,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583760783000,+105,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
Charles Oliveira,5Dimes,1583776624000,+100,Charles Oliveira,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
