Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chris Weidman,5Dimes,1494896404000,-135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1494937986000,-125,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1494941950000,-110,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1495004585000,+100,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1495153087000,+115,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1496243166000,+120,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1497304445000,+130,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1497331985000,+110,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1498620068000,+115,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1499626986000,+110,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500211267000,+125,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500211447000,+130,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500314587000,+135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500344286000,+130,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500377406000,+120,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500384428000,+130,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500401166000,+135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500429608000,+168,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500429789000,+170,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500430148000,+168,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500442747000,+160,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500443289000,+155,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500458050000,+160,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500491530000,+150,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500500529000,+145,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500556165000,+150,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500666669000,+155,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500667389000,+145,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500747849000,+150,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500748388000,+145,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500754688000,+150,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500755047000,+145,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500758672000,+140,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500762428000,+135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500766388000,+130,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500770348000,+135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500772148000,+140,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500772508000,+135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500773227000,+140,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,5Dimes,1500775928000,+135,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,BetDSI,1499296688000,+110,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,BetDSI,1499442668000,+112,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,BetDSI,1500066907000,+115,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
Chris Weidman,BetDSI,1500077710000,+125,Chris Weidman,Kelvin Gastelum,even,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
