Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demetrious Johnson,5Dimes,1490823367000,-1050,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1491093006000,-1200,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1491342124000,-1050,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1491723184000,-1075,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1491744610000,-840,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1491753609000,-900,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1491786007000,-850,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492030472000,-840,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492086964000,-850,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492087691000,-900,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492174811000,-1000,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492180747000,-840,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492305485000,-925,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492307463000,-1000,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,5Dimes,1492308004000,-1100,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1491755405000,-725,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1491786007000,-733,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1491786905000,-739,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492026152000,-771,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492104432000,-740,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492122786000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492122965000,-740,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492123145000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492124946000,-810,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492125665000,-812,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492129086000,-810,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492173731000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492201267000,-791,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492201988000,-775,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492208648000,-750,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492261037000,-826,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492275428000,-832,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492280288000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492286227000,-801,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492286586000,-802,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492288565000,-803,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492291446000,-809,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492292888000,-850,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492307285000,-825,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BetDSI,1492308185000,-875,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1491754687000,-725,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1491785464000,-733,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1491786183000,-739,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1491786723000,-733,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1491786905000,-739,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492025432000,-767,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492025612000,-739,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492025972000,-767,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492026152000,-771,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492103893000,-740,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492122246000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492124766000,-810,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492124946000,-812,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492173191000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492200917000,-791,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492209009000,-750,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492260488000,-787,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492260847000,-826,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492275066000,-832,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492275247000,-826,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492275428000,-832,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492280108000,-800,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
Demetrious Johnson,BookMaker,1492286046000,-802,Demetrious Johnson,Wilson Reis,even,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
