Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jon Jones,5Dimes,1274857233000,-610,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1275327921000,-610,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1275552027000,-590,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1275626727000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1278663332000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1279027831000,-525,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1279448137000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1279461632000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1279535426000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1279729849000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1279795531000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280132128000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280180733000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280226628000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280301332000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280322036000,-570,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280331939000,-620,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280444468000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280498436000,-580,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280500241000,-615,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280572233000,-570,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280643334000,-575,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280668527000,-580,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280688327000,-620,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280691030000,-605,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280700922000,-645,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280710820000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280715325000,-675,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280716226000,-710,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,5Dimes,1280717128000,-752,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1274904930000,-555,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1279850439000,-575,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280379656000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280466047000,-625,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280649629000,-700,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280691937000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280700927000,-725,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280706339000,-675,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280713532000,-700,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280714423000,-725,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280715334000,-750,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,BookMaker,1280717134000,-800,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1274857265000,-610,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1275327949000,-610,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1275552057000,-590,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1275626772000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1278663362000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1279027860000,-525,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1279447253000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1279461665000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1279535448000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1279729025000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1279795562000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280131393000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280180817000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280226660000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280301415000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280322079000,-570,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280331977000,-620,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280444526000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280498474000,-580,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280500310000,-615,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280572277000,-570,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280643372000,-575,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280668564000,-580,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280688370000,-620,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280691069000,-605,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280700958000,-645,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280710877000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280715371000,-675,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280716267000,-710,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportBet,1280717170000,-752,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1274828431000,-625,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1278951326000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1279899040000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280159134000,-625,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280164533000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280449841000,-800,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280691935000,-675,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280698229000,-800,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280706336000,-675,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280708123000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280713529000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Bovada,1280718030000,-800,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1274827540000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1280164542000,-625,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1280336457000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1280449850000,-800,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1280680247000,-675,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1280708132000,-650,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Sportsbook,1280714434000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1274910356000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1276425954000,-548,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1276728348000,-540,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1278519361000,-500,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1279322144000,-505,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280272567000,-510,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280422864000,-522,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280529084000,-535,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280532684000,-541,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280538078000,-555,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280609179000,-560,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280611876000,-562,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280682068000,-570,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280686561000,-575,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280700043000,-580,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280706361000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280708144000,-550,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,Pinnacle,1280713554000,-600,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Jon Jones,SportsInt.,1278367228000,-714,Jon Jones,Vladimir Matyushenko,even,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1274857233000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1275327921000,+455,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1275552027000,+445,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1275626727000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1278663332000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1279027831000,+415,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1279448137000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1279461632000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1279535426000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1279729849000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1279795531000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280132128000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280180733000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280226628000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280301332000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280322036000,+435,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280331939000,+460,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280444468000,+475,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280498436000,+490,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280500241000,+510,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280572233000,+480,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280643334000,+485,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280668527000,+490,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280688327000,+515,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280691030000,+505,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280700922000,+530,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280710820000,+535,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280715325000,+550,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280716226000,+575,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,5Dimes,1280717128000,+602,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1274904930000,+405,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1279850439000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280379656000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280466047000,+475,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280649629000,+500,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280691937000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280700927000,+525,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280706339000,+475,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280713532000,+500,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280714423000,+525,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280715334000,+550,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,BookMaker,1280717134000,+600,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1274857265000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1275327949000,+455,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1275552057000,+445,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1275626772000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1278663362000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1279027860000,+415,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1279447253000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1279461665000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1279535448000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1279729025000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1279795562000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280131393000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280180817000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280226660000,+430,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280301415000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280322079000,+435,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280331977000,+460,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280444526000,+475,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280498474000,+490,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280500310000,+510,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280572277000,+480,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280643372000,+485,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280668564000,+490,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280688370000,+515,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280691069000,+505,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280700958000,+530,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280710877000,+535,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280715371000,+550,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280716267000,+575,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,SportBet,1280717170000,+602,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1274828431000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1278951326000,+400,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1279899040000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1280159134000,+425,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1280164533000,+450,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1280449841000,+500,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1280691935000,+475,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
Vladimir Matyushenko,Bovada,1280698229000,+500,Jon Jones,Vladimir Matyushenko,odd,https://www.bestfightodds.com/events/ufc-on-versus-2-281
