Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anderson Silva,5Dimes,1451337492000,-290,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451337670000,-370,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451337872000,-300,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451338770000,-365,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451338930000,-485,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451342193000,-375,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451371145000,-345,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451397966000,-335,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451701627000,-355,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1451779566000,-300,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1453097884000,-280,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1453103104000,-300,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1454056746000,-320,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1454829484000,-310,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1454941625000,-280,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1454947385000,-300,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1455295327000,-325,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1455490985000,-310,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456354987000,-320,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456521854000,-300,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456523107000,-265,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456530846000,-260,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456574046000,-255,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456583409000,-240,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456587906000,-230,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456589349000,-220,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456594927000,-215,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456595828000,-200,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456602666000,-210,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456606986000,-225,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456609145000,-230,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456609686000,-235,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456611665000,-240,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456613106000,-250,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456613465000,-260,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,5Dimes,1456613645000,-275,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1451492646000,-325,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1452352328000,-317,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1452624127000,-325,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1454929384000,-320,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456111084000,-305,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456420147000,-308,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456423216000,-315,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456520766000,-305,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456531386000,-285,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456536066000,-282,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456536606000,-275,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456545967000,-270,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456580534000,-269,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456588628000,-240,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456590787000,-235,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
Anderson Silva,BetDSI,1456595829000,-240,Anderson Silva,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
