Bet,betsite,dates,odds,fighter1,fighter2,class,url
Michael Bisping,5Dimes,1396150386000,-165,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396155246000,-190,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396157947000,-165,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396172886000,-175,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396199885000,-190,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396201689000,-265,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396205469000,-210,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396282330000,-185,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396315809000,-210,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396391050000,-215,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396985229000,-175,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396991529000,-170,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1396995307000,-165,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397417945000,-175,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397590572000,-200,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397591013000,-210,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397591432000,-200,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397606946000,-195,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397666527000,-210,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397676611000,-205,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397682727000,-200,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397683996000,-192,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,5Dimes,1397693526000,-200,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,BetDSI,1397473925000,-175,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
Michael Bisping,BetDSI,1397537825000,-200,Michael Bisping,Tim Kennedy,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
