Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rich Franklin,5Dimes,1236276907000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1236349807000,-150,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1237163406000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1238673608000,-140,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1239558307000,-135,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1239993008000,-140,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1240461911000,-135,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1240648207000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1241523907000,-140,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1241635510000,-150,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1241782207000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1241960407000,-140,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1243183509000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1244510107000,-140,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1244807108000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1244889008000,-150,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1244919609000,-155,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,5Dimes,1244927709000,-170,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,BookMaker,1236293117000,-155,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
Rich Franklin,BookMaker,1237249812000,-145,Rich Franklin,Wanderlei Silva,even,https://www.bestfightodds.com/search?query=UFC%2099%3A%20The%20Comeback
