Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Smith,5Dimes,1530719285000,-175,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1530719646000,-210,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1530725405000,-195,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1530726306000,-215,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1530730087000,-265,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1530761764000,-285,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1530785525000,-275,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531082703000,-270,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531278544000,-280,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531632784000,-265,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531668424000,-265,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531674367000,-255,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531704604000,-235,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531771747000,-245,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531849145000,-230,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531853285000,-225,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531933746000,-240,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531966866000,-220,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1531971186000,-210,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532019066000,-200,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532032025000,-230,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532041567000,-225,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532094306000,-220,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532119875000,-210,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532146146000,-200,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532162526000,-195,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532181967000,-190,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
Anthony Smith,5Dimes,1532194746000,-190,Anthony Smith,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
