Bet,betsite,dates,odds,fighter1,fighter2,class,url
Diego Sanchez,5Dimes,1326724803000,+200,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1326760502000,+210,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1327055403000,+215,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1327262703000,+225,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1327566608000,+230,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1327658703000,+235,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1327835103000,+240,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328003403000,+245,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328269503000,+240,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328436304000,+245,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328512203000,+270,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328531403000,+255,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328616303000,+250,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328804703000,+260,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328808904000,+270,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328820603000,+260,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1328996404000,+280,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329233704000,+300,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329234005000,+310,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329320106000,+320,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329333914000,+318,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329334203000,+315,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329335404000,+310,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329339903000,+320,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329347104000,+310,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329358803000,+318,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329360603000,+315,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329361203000,+330,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329362103000,+335,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,5Dimes,1329363003000,+320,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1326568809000,+175,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1326570310000,+185,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1326570609000,+165,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1326604507000,+175,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1326607208000,+180,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1326735607000,+195,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1327254009000,+200,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1327452008000,+215,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1328420108000,+210,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1328422810000,+225,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1328757008000,+230,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1328769607000,+250,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1328840708000,+255,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1328928609000,+265,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329015307000,+275,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329120906000,+280,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329259508000,+290,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329266708000,+310,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329267008000,+310,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329348910000,+300,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329361508000,+310,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329361807000,+317,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329362109000,+318,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,BookMaker,1329363907000,+300,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1326724823000,+209,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1326760521000,+216,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1327055424000,+221,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1327262722000,+231,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1327566634000,+236,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1327658723000,+241,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1327835130000,+246,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328003428000,+252,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328269537000,+246,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328436330000,+252,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328512222000,+279,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328531425000,+263,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328616321000,+257,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328804737000,+269,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328808934000,+279,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328820631000,+269,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1328996432000,+289,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329233732000,+309,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329234033000,+304,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329320143000,+314,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329335427000,+309,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329339929000,+319,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329347128000,+314,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329350132000,+309,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329358831000,+314,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329361226000,+328,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329362125000,+330,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,SportBet,1329363027000,+319,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1328128806000,+205,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1328570704000,+230,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1328727004000,+250,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1329327906000,+300,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1329346205000,+285,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1329351005000,+280,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1329357605000,+260,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Bovada,1329362705000,+265,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Sportsbook,1328130318000,+205,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Sportsbook,1328726717000,+250,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Sportsbook,1329327920000,+280,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Sportsbook,1329358818000,+275,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1326660618000,+205,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1326665716000,+214,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1326736820000,+218,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1326760219000,+222,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327169722000,+233,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327179626000,+231,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327182621000,+227,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327278317000,+231,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327440320000,+235,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327644920000,+239,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327694422000,+255,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1327702821000,+248,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328042419000,+250,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328159421000,+239,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328247022000,+245,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328420630000,+248,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328568318000,+250,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328584229000,+252,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328733620000,+269,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328737220000,+260,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328757021000,+264,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328907022000,+270,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328909420000,+275,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1328996723000,+285,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329102317000,+281,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329166826000,+285,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329258921000,+290,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329273920000,+305,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329315021000,+301,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329324623000,+305,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329324923000,+306,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
Diego Sanchez,Pinnacle,1329325523000,+311,Diego Sanchez,Jake Ellenberger,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
