Name,Affiliation,Born,Fighting out of
Cindy Dandois,Lynx MMA,"Borgerhout, Belgium","Deurne, Belgium"
Jarjis Danho,Hammers Team,"Al-Malikiyah, Syria","Bielefeld, Germany"
Mac Danzig,Danzig MMA,"Cleveland, Ohio","Los Angeles, California"
Beneil Dariush,Kings MMA,"Urmia, Iran","Huntington Beach, California"
Kyle Daukaus,Martinez BJJ,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Chris Daukaus,Martinez BJJ,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Marcus Davis,Sityodtong Boston,"Houlton, Maine, United States","Bangor, Maine"
Phil Davis,Alliance MMA,"Harrisburg, Pennsylvania, United States","San Diego, California"
Mike Davis,Pete White Boxing & MMA,"South Cairo, New York","Orlando, Florida"
Alexis Davis,Cesar Gracie Jiu Jitsu,"Port Colborne, Ontario, Canada","Port Colborne, Ontario"
Brandon Davis,"American Top Team D’Iberville, MS",United States,Mississippi
Hakeem Dawodu,Champion's Creed Martial Arts,Canada,"Calgary, Alberta"
Grant Dawson,Glory MMA and Fitness,"Stromsburg, Nebraska","Lee's Summit, Missouri"
Jason Day,Canadian Martial Arts Centre,"Lethbridge, Alberta, Canada","Lethbridge, Alberta"
Martin Day,Martial Arts Co.,"Nagoya, Japan","Kailua, Honolulu County, Hawaii"
Yorgan De Castro,Regiment Training Center,Cape Verde,USA
Geraldo de Freitas,Rio Fighters,Brazil,"Conselheiro Lafaiete, Minas Gerais, Brazil"
Philip De Fries,Team Fish Tank,"Sunderland, England, United Kingdom","Sunderland, England"
Chris de la Rocha,,"San Jose, California, United States","Washougal, Washington, USA"
Montana De La Rosa,Elevation Fight Team,"Texas, United States","Arlington, Texas, USA"
Mark De La Rosa,Genesis BJJ,"Lubbock, Texas","Fort Worth, Texas"
Mike de la Torre,Team Hurricane Awesome,United States,"Glendale, Arizona, USA"
Rodrigo de Lima,Frankiko Team,"Para, Brazil","Para, Brazil"
Edilberto de Oliveira,Champion Team,Brazil,"Campo Formoso, Bahia, Brazil"
Jorge de Oliveira,Renovacao Fight Team,Brazil,Brazil
Isabela de Padua,Nova Geração Muay Thai,"Mogi-Guacu, Sao Paulo, Brazil","Mogi-Guacu, Sao Paulo, Brazil"
Germaine de Randamie,American Kickboxing Academy,"Utrecht, Netherlands","San Jose, California"
Tom DeBlass,Ricardo Almeida Jiu Jitsu,"New Brunswick, New Jersey, United States","Forked River, New Jersey"
Shane del Rosario,Team Oyama,USA,USA
Rolando Delgado,Westside Fight Team,"San Diego, California, United States","Little Rock, Arkansas"
Roland Delorme,Winnipeg Academy of Mixed Martial Arts,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba"
Jon Delos Reyes,Countershot Kickboxing Academy,"Ordot Chalan Pago, Guam","Tamuning, Guam"
Chris Dempsey,Cold Steel MMA,"Ambridge, Pennsylvania","Ambridge, Pennsylvania"
Nick Denis,Ronin MMA,"Ottawa, Ontario, Canada","Montreal, Quebec"
Jason Dent,GriffonRawl MMA Academy,United States,"Cincinnati, Ohio, United States"
Mackenzie Dern,Black House MMA,"Phoenix, Arizona","Los Angeles, California"
Tony DeSouza,,Peru,"Lima, Peru"
Alessio Di Chirico,Gloria Fight Center,"Rome, Italy","Rome, Italy"
Cyrille Diabate,Snake Team,"La Celle-Saint-Cloud, France","Rueil-Malmaison, France"
Marc Diakiese,American Top Team,Democratic Republic of Congo,"Doncaster, South Yorkshire, England"
Tyler Diamond,Team Alpha Male,"Oroville, California","Sacramento, California"
Hacran Dias,Nova Uniao,Brazil,Brazil
Nick Diaz,Cesar Gracie Jiu Jitsu,"Stockton, California, United States","Stockton, California"
Nate Diaz,Cesar Gracie Jiu Jitsu,"Stockton, California, United States","Stockton, California"
TJ Dillashaw,,"Sonora, California, United States","Sacramento, California"
Russell Doane,,United States,"Honolulu, Hawaii"
Drew Dober,Elevation Fight Team,United States,"Denver, Colorado"
Shana Dobson,Elevation Fight Team,United States,"Washington, D.C."
John Dodson,Jackson Wink MMA,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Joe Doerksen,Canadian Fighting Center,"New Bothwell, Manitoba, Canada","Winnipeg, Manitoba"
Roman Dolidze,,"Batumi, Georgia","Odessa, Ukraine"
Cameron Dollar,Pariah MMA & Fitness,"Prescott Valley, Arizona, United States","Colorado Springs, Colorado"
CB Dollaway,Power MMA,"Mount Gilead, Ohio, United States","Tempe, Arizona"
Cody Donovan,Jackson Wink MMA,"Waterloo, Iowa, United States","Denver, Colorado"
Rafael Dos Anjos,Kings MMA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
Junior Dos Santos,American Top Team,"Caçador, Santa Catarina, Brazil","Salvador, Bahia, Brazil"
Antonio Dos Santos,Champion Team,Brazil,"Salvador, Bahia, Brazil"
Anderson Dos Santos,Babuino Gold Team,"Sao Paulo, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Tiago dos Santos e Silva,Team Nogueira,Brazil,Brazil
Danny Downes,Roufusport MMA Academy,"Chicago, Illinois, United States","Milwaukee, Wisconsin"
Derek Downey,Jeremy Horn's Elite Performance,United States,"Orem, Utah, United States"
Tomasz Drwal,Szkoła Walki Drwala,"Nowy Sącz, Poland","Kraków, Poland"
Robert Drysdale,Drysdale Jiu Jitsu,"Provo, Utah, United States","Las Vegas, Nevada"
Milana Dudieva,Peresvet FT,Russia,Russia
Todd Duffee,,"Evansville, Indiana, United States","San Jose, California"
Joe Duffy,Tristar Gym,"Donegal, Ireland","South Wales, United Kingdom"
Alexis Dufresne,Top Rank Fitness,"Temecula, California, United States","Temecula, California"
Jessamyn Duke,UWF USA,"Blackey, Kentucky","Los Angeles, California"
Norma Dumont,Gordin Fight Team,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil"
Evan Dunham,,"Eugene, Oregon, United States","Las Vegas, Nevada"
Tom Duquesnoy,Kajyn MMA Fighters,"Lyon, France","Paris, France"
Reuben Duran,Pinnacle MMA,"Chula Vista, California, United States","Redlands, California"
Cody Durden,American Top Team Atlanta,United States,"Georgia, United States"
Luiz Dutra,Renovação Fight Team,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Merab Dvalishvili,Serra Jiu-Jitsu,"Tbilisi, Georgia","Garden City Park, New York"
David Dvorak,All Sports Academy,Czech Republic,"Hradec Kralove, Czech Republic"
Matt Dwyer,Havok Martial Arts,"Kelowna, British Columbia, Canada","Kelowna, British Columbia"
Rolando Dy,Biagtan Muay Thai,Philippines,Philippines
Cody East,,United States,"Los Lunas, New Mexico"
Marvin Eastman,J-Sect MMA,United States,"Las Vegas, Nevada"
Mike Easton,Team Lloyd Irvin,"Anacostia, Washington, D.C., United States","Camp Springs, Maryland, United States"
Brian Ebersole,American Kickboxing Academy,"La Porte, Indiana, United States","Phuket, Thailand"
Mark Eddiva,Lakay Central Gym,Philippines,Philippines
Frankie Edgar,Ricardo Almeida Jiu Jitsu,"Toms River, New Jersey, United States","Toms River, New Jersey"
Abdul-Kerim Edilov,Akhmat Fight Club,"Grozny, Russia","Moscow, Russia"
Johnny Eduardo,Nova Uniao,Brazil,Brazil
Yves Edwards,American Top Team Beaumont	,"Nassau, Bahamas","Woodlands, Texas"
Justin Edwards,JG MMA Academy,"Mansfield, Ohio, United States","Bellefontaine, Ohio"
Leon Edwards,Ultimate Training Centre,"Kingston, Jamaica","Birmingham, England"
Te Edwards,MMA Lab,"Virginia Beach, Virginia","Phoenix, Arizona, United States"
Tom Egan,Straight Blast Gym Ireland,Ireland,Ireland
Jon Olav Einemo,Golden Glory ,"Oslo, Norway","Oslo, Norway"
Per Eklund,Hilti NHB,Sweden,Sweden
Darren Elkins,,"Hobart, Indiana, United States","Portage, Indiana"
Jake Ellenberger,Kings MMA,"Omaha, Nebraska","Omaha, Nebraska"
Joe Ellenberger,Reign MMA,United States,"Omaha, Nebraska"
Tim Elliott,Glory MMA and Fitness,"Kansas City, Missouri, United States","Lee's Summit, Missouri"
Lisa Ellis,United Training Center,"Woodinville, Washington","Lacey, Washington"
Anna Elmose,Rumble Sports,Denmark,"Copenhagen, Denmark"
Cameron Else,Jackson-Wink MMA,England,England
Ramazan Emeev,Gorets FT,Russia,Russia
Rob Emerson,Team Oyama,United States,"Huntington Beach, California"
Jamall Emmers,Pinnacle MMA,"Miami, Florida","Redlands, California"
Josh Emmett,Team Alpha Male,United States,"Sacramento, California"
Oliver Enkamp,Pancrase Gym Sweden,"Stockholm, Sweden","Stockholm, Sweden"
Ian Entwistle,Bulgarian Top Team,England,England
Andy Enz,Gracie Barra Alaska,"Anchorage, Alaska","Anchorage, Alaska"
Konstantin Erokhin,Krepost Fight Club,Russia,Russia
Julian Erosa,Yakima MMA,United States,"Yakima, Washington"
Cole Escovedo,Pacific Martial Arts,"Fresno, California, United States","Fresno, California"
Efrain Escudero,MMA Lab,"San Luis Rio Colorado, Sonora, Mexico","Glendale, Arizona"
Carla Esparza,Team Oyama,United States,"Redondo Beach, California"
Juan Espino,American Top Team,Spain,"Las Palmas, Canary Islands"
Jordan Espinosa,Luttrell's MMA,United States,"Albuquerque, New Mexico"
Jodie Esquibel,Jackson Wink MMA,"Albuquerque, New Mexico","Albuquerque, New Mexico"
Terry Etim,Team Kaobon Liverpool,"Liverpool, England","Liverpool, England"
Sijara Eubanks,,United States,Maryland
Rashad Evans,Blackzilians,"Niagara Falls, New York, United States","Boca Raton, Florida"
Doug Evans,AK Wolfpack,United States,"Anchorage, Alaska"
Ashlee Evans-Smith,Reign MMA,United States,"Lake Forest, California"
Dan Evensen,,Norway,Norway
Tonya Evinger,,"Oak Grove, Missouri, United States","St. Louis, Missouri"
Movsar Evloev,Fight Club Nart,"Russia, Sunzha","Ingushetia, Russia"
Andre Ewell,Apex MMA,United States,"Riverside, California"
Jessica Eye,Strong Style Fight Team,United States,"Parma, Ohio"
Edward Faaloloto,IN FIGHT JAPAN,USA,USA
Urijah Faber,Team Alpha Male,"Isla Vista, California, United States","Sacramento, California"
Melinda Fabian,,Hungary,"Budapest, Hungary"
Bartosz Fabinski,WCA Fight Team,Poland,"Warsaw, Poland"
Zarah Fairn,Platinum,France,France
Maiquel Falcao,,"Rio Grande Du Sol, Brazil","Pararai, Brazil"
Brodie Farber,,USA,USA
Kalindra Faria,Vale Top Team,"Taubate, Sao Paulo, Brazil","Taubate, Sao Paulo, Brazil"
Kelly Faszholz,Nor-Cal Fighting Alliance,USA,USA
Paul Felder,,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Carlos Felipe,LIFE MMA,"Feira de Santana, Bahia, Brazil","Feira de Santana, Bahia, Brazil"
Kevin Ferguson,American Top Team,USA,USA
Tony Ferguson,Knuckleheadz Boxing,"California, United States","Ventura, California"
Josh Ferguson,All American MMA,"Louisville, Kentucky, United States","Taylorsville , Kentucky"
Alexandre Ferreira,Chute Boxe Academy,Brazil,"Rio de Janiero, Brazil"
Cezar Ferreira,MMA Masters,"Ibitinga, Sao Paulo, Brazil","Boca Raton, Florida, United States"
Diego Ferreira,Fortis MMA,"Manaus, Amazonas, Brazil","McAllen, Texas"
Drew Fickett,Team Scrub,"Tampa, Florida, United States","Tucson, Arizona"
Deiveson Figueiredo,Team Figueiredo,Brazil,"Belem, Para, Brazil"
Edwin Figueroa,Mohler MMA,"McKinney, Texas, United States","McKinney, Texas"
Andre Fili,Team Alpha Male,"Federal Way, Washington, United States","Sacramento, California"
Mirko Filipovic,Cro Cop Squad Gym,"Vinkovci, Croatia","Zagreb, Croatia"
Luigi Fioravanti,,United States,"Orlando, Florida"
Spencer Fisher,Sityodtong Boston,"Brevard, North Carolina, United States","Bettendorf, Iowa"
Chris Fishgold,Next Generation MMA Liverpool,England,"Liverpool, England"
Jon Fitch,American Kickboxing Academy,"Fort Wayne, Indiana, United States","San Jose, California"
Rafael Fiziev,Tiger Muay Thai,Kazakhstan,"Phuket, Thailand"
Colin Fletcher,Sunderland Fight Pit,"Sunderland, England","Sunderland, Tyne and Wear"
Kenny Florian,Florian Martial Arts Center,"Westwood, Massachusetts, United States","Brookline, Massachusetts"
Caros Fodor,AMC Pankration,"Shoreline, Washington, United States","Kirkland, Washington"
Rob Font,New England Cartel,"Tampa, Florida","Boston, Massachusetts"
Jesse Forbes,Arizona Combat Sports,United States,"Tempe, Arizona, United States"
Jussier Formiga,Kimura,"Natal, Rio Grande do Norte, Brazil","Natal, Rio Grande do Norte, Brazil"
Renee Forte,MMA Masters,"Fortaleza, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Marcel Fortuna,Ralph Gracie,"Tubarão, Santa Catarina, Brazil",California
Brian Foster,Finney's HIT Squad,USA,USA
Hermes Franca,Team Hermes França,"Fortaleza, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Glaico Franca Moreira,Astra Fight Team,"Curitibanos, Santa Catarina, Brazil","Balneario Camboriu, Santa Catarina, Brazil"
Rich Franklin,Team Extreme,"Cincinnati, Ohio, United States","Cincinnati, Ohio"
Justin Frazier,Without Limits MMA,"Charleston, South Carolina, United States","Batesville, Arkansas"
Willamy Freire,Nova União,"Fortaleza, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Matt Frevola,Gracie Tampa South,"Huntington, New York","Tampa, Florida"
Jinh Yu Frey,Genesis BJJ,"Arkansas, United States","Arlington, Texas"
Sarah Frota,Astra Fight Team,"Goiania, Goias, Brazil","Balneario Camboriu, Santa Catarina, Brazil"
Riki Fukuda,GRABAKA,"Shibuya, Tokyo, Japan","Shibuya, Tokyo, Japan"
Ricardo Funch,Team Link,"Lencois, Brazil","Ludlow, Massachusetts"
Claudia Gadelha,Nova União,"Mossoro, Rio Grande do Norte, Brazil","Robbinsville, New Jersey"
Justin Gaethje,Elevation Fight Team,"Safford, Arizona, United States","Greeley, Colorado"
Sheila Gaff,Energy Gym,Germany,"Eschwege, Germany"
Mitch Gagnon,Team Shredder,"Sturgeon Falls, Ontario, Canada","Sudbury, Ontario"
Mickey Gall,Gracie New Jersey Academy,United States,"Green Brook, New Jersey"
Joey Gambino,LionSport MMA,"Port Charlotte, Florida, United States","Saugerties, New York"
Manvel Gamburyan,Hayastan MMA,"Leninakan, Armenia","North Hollywood, California"
Shamil Gamzatov,Russia Top Team,Russia,"Makhachkala, Russia"
Eduardo Garagorri,Fronteira Fight Team,"Santana do Livramento, Rio Grande do Sul, Brazil","Rivera, Uruguay"
Cody Garbrandt,Team Alpha Male,"Uhrichsville, Ohio","Pittsburgh, Pennsylvania"
Leonard Garcia,Jackson Wink MMA,"Plainview, Texas, United States","Lubbock, Texas"
Edgar Garcia,Yuma United Mixed Martial Arts,"Bryan, Texas, United States","Yuma, Arizona"
Alex Garcia,Tristar Gym,"Santiago, Dominican Republic","Montreal, Quebec"
Steve Garcia,Jackson Wink MMA,"Albuquerque, New Mexico","Rio Rancho, New Mexico"
Elias Garcia,Roufusport MMA Academy,"Anaheim, California","Milwaukee, Wisconsin"
Pablo Garza,Academy of Combat Arts,"Wasco, California, United States","Fargo, North Dakota"
Azamat Gashimov,Jackson Wink MMA,"Dagestan, Russia","Albuquerque, New Mexico"
Kelvin Gastelum,Yuma United Mixed Martial Arts,"San Jose, California, United States","Yuma, Arizona"
Willie Gates,Pinnacle MMA,"Fontana, California","Fontana, California"
Louis Gaudinot,Tiger Schulmann's Mixed Martial Arts,"Yonkers, New York, United States","Hoboken, New Jersey"
Paul Georgieff,,United States,"St. Paul, Minnesota, USA"
Brian Geraghty,Dave Strasser's Freestyle Academy of MMA,United States,"Kenosha, Wisconsin"
Karine Gevorgyan,ArmFighting,Armenia,Armenia
Christos Giagos,Black House MMA,"Azusos, California, United States","Hawthorne, California"
Joe Giannetti,South Shore Sportfighting,United States,"Whitman, Massachusetts"
Cody Gibson,Trifecta MMA,"Blackwell, Oklahoma","Visalia, California"
Thomas Gifford,Team Relentless,United States,"Brush Creek, Arkansas"
Joseph Gigliotti,,"Cleveland, Ohio","Gilbert, Arizona"
Trevin Giles,W4R Training Center,"San Antonio, Texas","Houston, Texas"
Rick Glenn,Team Alpha Male,"Marshalltown, Iowa, United States","Milwaukee, Wisconsin"
Mark Godbeer,Trojan Free Fighters,"Bridgwater, Somerset, England","Bridgwater, Somerset, England"
Hannah Goldy,UFC Gym Winter Springs,"Bondville, Vermont, United States","Tampa, Florida, United States"
Marcelo Golm,American Top Team,"Santos, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Ulysses Gomez,Cobra Kai Jiu Jitsu,"Los Angeles, California, United States","Las Vegas, Nevada"
Joey Gomez,Boss MMA,"Denver, Colorado","Hilo, Hawaii"
Takanori Gomi,Kugayama Rascal Gym,"Kanagawa, Japan","Tokyo, Japan"
Akihiro Gono,GRABAKA,"Higashikurume, Tokyo, Japan","Tokyo, Japan"
Gabriel Gonzaga,Squared BJJ Worcester,"Rio de Janeiro, Rio de Janeiro, Brazil","Ludlow, Massachusetts"
Lewis Gonzalez,MMA Gold Fight Team,United States,"Turlock, California"
Pearl Gonzalez,10th Planet Jiu Jitsu San Diego,"Chicago, Illinois, United States","San Diego, California"
Lyman Good,Tiger Schulmann's Mixed Martial Arts,"New York City, New York, United States","New York City, New York"
Eddie Gordon,Serra Jiu-Jitsu,Jamaica,"Freeport, New York"
Jared Gordon,Renzo Gracie Academy,United States,"Queens, New York"
Malcolm Gordon,Adrenaline MMA Training & Fitness,"Calgary, Alberta, Canada","London, Ontario"
Alex Gorgees,Australian Top Team,Australia,"Sydney, New South Wales"
Tim Gorman,Des Moines MMA Academy,"Winterset, Iowa","Des Moines, Iowa"
Jonathan Goulet,Team Legion,"Victoriaville, Quebec, Canada","Victoriaville, Quebec"
Thibault Gouti,Sausset FightTeam,France,"Albuquerque, New Mexico"
Damian Grabowski,Lutadores Opole,Poland,"Opole, Poland"
Renzo Gracie,Renzo Gracie Academy,"Rio de Janeiro, Brazil","New York City, New York"
Rolles Gracie,Renzo Gracie Academy,Brazil,"New York City, New York"
Roger Gracie,Evolve MMA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
Kron Gracie,Gracie Humaita,"Rio de Janeiro, Brazil","Los Angeles, California"
Miranda Granger,Charlie's Combat Club,United States,Washington State
TJ Grant,Fit Plus MMA,"Calgary, Alberta, Canada","Cole Harbour, Nova Scotia"
Davey Grant,SBG Manchester,"Bishop Auckland, England","Bishop Auckland, England"
Dwight Grant,American Kickboxing Academy,United States,"New York City, New York"
Alexa Grasso,Lobo Gym MMA,Mexico,"Guadalajara, Mexico"
Tony Gravely,American Top Team,"Martinsville, Virginia, United States","Coconut Creek, Florida"
Michael Graves,American Top Team,"Maumee, Ohio","Coconut Creek, Florida"
Bobby Green,Pinnacle MMA,United States,"Inland Empire, California"
Desmond Green,American Combat Club,United States,"Rochester, New York"
Gabe Green,Tracy Hess' Subfighter MMA,"San Pedro, California","Downey, California"
Maurice Greene,The Performance Compound,"Broadalbin, New York","Evanston, Illinois"
Matt Grice,Titan Martial Arts,"Midwest City, Oklahoma, United States","Harrah, Oklahoma"
Forrest Griffin,Xtreme Couture,"Columbus, Ohio, United States","Las Vegas, Nevada"
Tyson Griffin,American Kickboxing Academy,"Sacramento, California, United States","San Jose, California"
Max Griffin,MMA Gold Fight Team,"Sacramento, California","Sacramento, California"
Jordan Griffin,Roufusport MMA Academy,United States,Wisconsin
Chad Griggs,Apex MMA,"Tucson, Arizona, United States","Tucson, Arizona"
Maxim Grishin,Akhmat Fight Club,"Tambov, Russia","Stary Oskol, Russia"
Josh Grispi,South Shore Sportfighting,"Plympton, Massachusetts","Rockland, Massachusetts"
Kendall Grove,Straight Rootless Jiu Jitsu,"Wailuku, Maui, Hawaii, United States","Maui, Hawaii"
Neil Grove,,"Klerksdorp, South Africa","London, England"
Chris Gruetzemacher,American Top Team,United States,"Coconut Creek, Florida"
Vik Grujic,Alliance MMA,Australia,"Melbourne, Victoria, Australia"
Wang Guan,Xi'an Sports University,China,"Beijing, China"
Nandor Guelmino,Gym 23,Austria,"Vienna, Austria"
Shannon Gugerty,City Boxing,United States,"San Diego, California"
Clay Guida,,"Round Lake, Illinois, United States","Johnsburg, Illinois"
Melvin Guillard,,"New Orleans, Louisiana, United States","Denver, Colorado"
Marcelo Guimaraes,Caveira Team,"Itapemirim, Espírito Santo, Brazil","Vila Velha, Espirito Santo, Brazil"
Leonardo Guimaraes,Gracie Barra Bahia,Brazil,"Salvador, Bahia, Brazil"
John Gunther,Strong Style Fight Team,United States,"Cleveland, Ohio"
Jorge Gurgel,JG MMA Academy,"Fortaleza, Brazil","West Chester, Ohio"
Andre Gusmao,Renzo Gracie Academy,"Goiânia, Brazil","New York, New York"
Alexander Gustafsson,Allstars Training Center,"Arboga, Sweden","Stockholm, Sweden"
Horacio Gutierrez,Chicago Fight Team,"Guadalajara, Jalisco, Mexico","Chicago, Illinois"
Chris Gutierrez,,"Greenville, Texas","Englewood, Colorado"
Mike Guymon,Jokers MMA,"Newport Beach, California, United States","Lake Forest, California"
Damir Hadzovic,Arte Suave,"Goražde, Bosnia","Esbjerg, Denmark"
Uriah Hall,,"Spanish Town, Jamaica","New York City, New York"
Ryan Hall,Tristar Gym,"Arlington, Virginia, United States","Falls Church, Virginia, United States"
Piotr Hallmann,Mighty Bulls Gdynia,Poland,"Gdynia, Poland"
John Halverson,,United States,"Waukee, Iowa"
Seo Hee Ham,Busan Team MAD,"Gangwon, South Korea","Busan, South Korea"
Matt Hamill,Team Punishment,"Loveland, Ohio, United States","Utica, New York"
Anthony Hamilton,,"Kent, Washington, United States","Newcastle, Washington State"
Jared Hamman,VMAT,"Atascadero, California, United States","Los Angeles, California"
James Hammortree,USA Martial Arts,"Chicago, Illinois","Ocala, Florida"
Kay Hansen,10th Planet Jiu Jitsu Buena Park,United States,"Fullerton, California"
Nasrat Haqparast,Tristar Gym,Germany,"Hamburg, Germany"
Dan Hardy,Team Rough House,"Nottingham, England","Nottingham, England"
Greg Hardy,American Top Team,United States,"Florida, United States"
Gerald Harris,Ghost Dog Boxing,"Tulsa, Oklahoma, United States","Tulsa, Oklahoma"
Walt Harris,,"Homewood, Alabama","Homewood, Alabama"
Collin Hart,Nor-Cal Fighting Alliance,United States,"Santa Rosa, California"
Clay Harvison,Iron Clutch Fitness,"Atlanta, Georgia, United States","Atlanta, Georgia"
Hayder Hassan,American Top Team,"Coconut Creek, Florida","Coconut Creek, Florida"
Tommy Hayden,Bangkok Fight Lab,"Cincinnati, Ohio, United States","Cincinnati, Ohio"
Josh Haynes,Team Quest Portland,United States,"Medford, Oregon"
Dustin Hazelett,JG MMA Academy,"Louisa, Kentucky, United States","Cincinnati, Ohio"
James Head,Lovato's BJJ,"Highland, Illinois, United States","Oklahoma City, Oklahoma"
Pat Healy,Sports Lab,"St. Louis, Missouri, United States","Eagle Creek, Oregon"
Chris Heatherly,Fit or Fight Gym,"Cahokia, Illinois","Cahokia, Illinois"
Jake Hecht,Fiore MMA,"St. Louis, Missouri, United States","Springfield, Illinois"
Nick Hein,Combat Club Cologne,Germany,"Cologne, Germany"
Ian Heinisch,factoryX Muay Thai,United States,"Parker, Colorado"
Marcin Held,Bastion Tychy,Poland,"Tychy, Poland"
Delson Heleno,Pitbull,"Rio de Janeiro, Rio de Janeiro, Brazil","Teresopolis, Rio de Janeiro, Brazil"
Dan Henderson,Team Quest,"Downey, California, United States","Temecula, California"
Benson Henderson,MMA Lab,"Colorado Springs, Colorado, United States","Glendale, Arizona"
Josh Hendricks,,"Mansfield, Ohio","Mansfield, Ohio"
Johny Hendricks,Team Takedown,"Ada, Oklahoma, United States","Dallas, Texas"
Cory Hendricks,Syndicate MMA,United States,Washington State
Luis Henrique,Tata Fight Team,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Danny Henry,Higher Level Martial Arts,"Edinburgh, Scotland","Edinburgh, Scotland"
Jai Herbert,Team Renegade BJJ,England,England
Ed Herman,Team Quest,"Vancouver, Washington","Fort Collins, Colorado"
Dave Herman,Team Quest,"Fort Wayne, Indiana, United States","Temecula, California"
Jack Hermansson,Frontline Academy,"Uddevalla, Sweden","Oslo, Norway"
Ramiro Hernandez,Miletich Fighting Systems,"Muscatine, Iowa","Bettendorf, Iowa"
Alexander Hernandez,factoryX Muay Thai,United States,"San Antonio, Texas"
Anthony Hernandez,MMA Gold Fight Team,United States,"Dunnigan, California"
Nohelin Hernandez,American Kickboxing Academy,"Gilroy, California","Gilroy, California"
Geane Herrera,Banks MMA,"Duarte, California, United States","Tampa, Florida"
Alvaro Herrera Mendoza,Lobo Gym MMA,Mexico,"Guadalajara, Jalisco, Mexico"
Felice Herrig,Team Curran MMA,United States,"Schaumburg, Illinois"
Heath Herring,Las Vegas Combat Club,"Waco, Texas, United States","Las Vegas, Nevada"
Clint Hester,X3 Sports,United States,"Marietta, Georgia"
Jimy Hettes,Northeast Jiu Jitsu,"Kingston, Pennsylvania, United States","Swoyersville, Pennsylvania"
Jay Hieron,Xtreme Couture,"Freeport, New York, United States","Las Vegas, Nevada"
Jason High,American Top Team,United States,"Huntington Beach, California"
Jamahal Hill,,United States,Michigan
Hatsu Hioki,ALIVE,"Nagoya, Japan","Nagoya, Japan"
Kuniyoshi Hironaka,Master Japan,"Yamaguchi-shi, Yamaguchi, Japan","Tokyo, Japan"
Mizuto Hirota,CAVE,"Isahaya, Nagasaki, Japan","Nakano, Tokyo, Japan"
Kwan Ho Kwak,Korean Top Team,"Namyangju, Gyeonggi, South Korea","Seoul, South Korea"
Matt Hobar,Fortis MMA,United States,"Dallas, Texas"
Sam Hoger,Hoger MMA,United States,"Eagle River, Alaska"
Andrew Holbrook,Indy Boxing & Grappling,"Adrian, Michigan","Indianapolis, Indiana"
Kevin Holland,Travis Lutter BJJ,United States,"Fort Worth, Texas"
Roger Hollett,Jackson Wink MMA,"Halifax, Nova Scotia, Canada","Albuquerque, New Mexico"
Max Holloway,Gracie Technics,"Oahu, Hawaii, United States","Waianae, Hawaii"
Holly Holm,Jackson Wink MMA,United States,"Albuquerque, New Mexico"
Kurt Holobaugh,Gracie Barra Louisiana,United States,"Denham Springs, Louisiana"
Paddy Holohan,Straight Blast Gym Ireland,Ireland,"Dublin, Ireland"
Mark Holst,Ottawa Academy of Martial Arts,"Ottawa, Ontario, Canada","Ottawa, Ontario"
Scott Holtzman,Gym-O,United States,"Knoxville, Tennessee"
Sabah Homasi,American Top Team,"New Brunswick, New Jersey","Coconut Creek, Florida"
Mark Hominick,Adrenaline MMA Training & Fitness,"Thamesford, Ontario, Canada","London, Ontario"
Barb Honchak,Miletich Fighting Systems,United States,"Bettendorf, Iowa"
Dan Hooker,City Kickboxing,"Auckland, New Zealand","Auckland, New Zealand"
Chase Hooper,Combat Sport & Fitness,"Enumclaw, Washington, United States"," Enumclaw, Washington, United States"
Darrell Horcher,Unrivaled Athletics,United States,"Shermans Dale, Pennsylvania"
Yoshinori Horie,ALLIANCE,"Nagasaki, Japan","Nagasaki, Japan"
Kyoji Horiguchi,American Top Team,"Takasaki, Gunma, Japan","Coconut Creek, Florida"
Jeremy Horn,Jeremy Horn's Elite Performance,"Omaha, Nebraska, United States","Sandy, Utah, United States "
Jeff Hougland,Combat Sport & Fitness,"Chicago, Illinois, United States","Enumclaw, Washington"
John Howard,F A F Gym,"Dorchester, Massachusetts, United States","Boston, Massachusetts"
Shane Howell,The Forge MMA,United States,"Oklahoma City, Oklahoma"
Austin Hubbard,Elevation Fight Team,"Illinois, United States","Denver, Colorado"
Roger Huerta,Tiger Muay Thai,"Los Angeles, California, United States","Phuket, Thailand"
Matt Hughes,Finney's HIT Squad,"Hillsboro, Illinois, United States","Hillsboro, Illinois"
Jeff Hughes,Strong Style Fight Team,United States,"Canton, Ohio"
